R,G,B,Scalar
0.670086,0.175474,0.005171,1
0.67424,0.179454,0.005139,1
0.678388,0.183424,0.005093,1
0.682531,0.187385,0.005037,1
0.686668,0.191339,0.00497,1
0.6908,0.195285,0.004892,1
0.694926,0.199224,0.004805,1
0.699047,0.203159,0.004707,1
0.703163,0.207087,0.004603,1
0.707273,0.211012,0.004487,1
0.71138,0.214933,0.004366,1
0.715481,0.218851,0.004235,1
0.719577,0.222766,0.0041,1
0.723669,0.226679,0.003956,1
0.727757,0.23059,0.003809,1
0.73184,0.2345,0.003653,1
0.73592,0.238409,0.003496,1
0.739995,0.242319,0.003332,1
0.744066,0.246227,0.003167,1
0.748133,0.250137,0.002997,1
0.752196,0.254047,0.002828,1
0.756256,0.257959,0.002654,1
0.760312,0.261871,0.002481,1
0.764366,0.265784,0.002301,1
0.768421,0.269694,0.00211,1
0.772475,0.273603,0.001905,1
0.77653,0.27751,0.00169,1
0.780585,0.281416,0.00146,1
0.78464,0.285322,0.001221,1
0.788697,0.289227,0.000968,1
0.792753,0.293133,0.000706,1
0.796811,0.297038,0.000432,1
0.800868,0.300945,0.000148,1
0.804892,0.304893,0.000003,1
0.808882,0.308882,0.000001,1
0.812871,0.312872,0.000003,1
0.816862,0.316862,0.000001,1
0.820854,0.320854,0.000002,1
0.824847,0.324847,0.000002,1
0.828841,0.328841,0.000002,1
0.832837,0.332837,0.000002,1
0.836834,0.336835,0.000002,1
0.840834,0.340834,0.000002,1
0.844835,0.344836,0.000002,1
0.848837,0.348842,0.000012,1
0.852838,0.352854,0.000042,1
0.856837,0.356873,0.000091,1
0.860835,0.360898,0.000162,1
0.864831,0.36493,0.000255,1
0.868827,0.368969,0.000372,1
0.872822,0.373015,0.000514,1
0.876816,0.377068,0.000681,1
0.88081,0.381128,0.000876,1
0.884803,0.385196,0.001098,1
0.888795,0.38927,0.001352,1
0.892787,0.393353,0.001635,1
0.896778,0.397443,0.001952,1
0.90077,0.401542,0.0023,1
0.904761,0.405647,0.002686,1
0.908752,0.409761,0.003105,1
0.912743,0.413883,0.003565,1
0.916735,0.418014,0.004061,1
0.920727,0.422152,0.004601,1
0.924718,0.426299,0.005179,1
0.928711,0.430454,0.005806,1
0.932704,0.434618,0.006473,1
0.936698,0.438791,0.007191,1
0.940692,0.442972,0.007953,1
0.944688,0.447162,0.008769,1
0.948684,0.451362,0.009633,1
0.952682,0.45557,0.010553,1
0.95668,0.459787,0.011526,1
0.96068,0.464014,0.012556,1
0.964682,0.46825,0.013645,1
0.968685,0.472495,0.014793,1
0.972689,0.476749,0.016004,1
0.976695,0.481014,0.017278,1
0.980703,0.485287,0.018619,1
0.984713,0.489571,0.020025,1
0.988725,0.493864,0.021504,1
0.992739,0.498168,0.02305,1
0.996217,0.503024,0.021093,1
0.999068,0.508507,0.015182,1
1.000003,0.515619,0.015585,1
1.000003,0.523413,0.02338,1
1.000003,0.531144,0.031112,1
1.000003,0.538814,0.038828,1
1.000004,0.546423,0.046496,1
1.000003,0.553969,0.054033,1
1.000003,0.561455,0.061509,1
1.000003,0.568883,0.068927,1
1.000003,0.576257,0.076291,1
1.000002,0.583579,0.083603,1
1.000001,0.590852,0.090864,1
1,0.598078,0.098079,1
1.000001,0.605258,0.105269,1
1.000002,0.612396,0.112414,1
1.000003,0.619494,0.119517,1
1.000004,0.626554,0.126579,1
1.000004,0.633578,0.133603,1
1.000004,0.640568,0.14059,1
1.000004,0.647525,0.147543,1
1.000003,0.654451,0.154464,1
1.000001,0.661349,0.161354,1
1.000001,0.668217,0.16822,1
1.000002,0.675057,0.175067,1
1.000004,0.681872,0.181885,1
1.000004,0.688663,0.188677,1
1.000004,0.695432,0.195445,1
1.000003,0.70218,0.20219,1
1.000002,0.708907,0.208913,1
1,0.715616,0.215616,1
1.000002,0.722303,0.222309,1
1.000003,0.728974,0.228982,1
1.000004,0.735629,0.235638,1
1.000004,0.742268,0.242277,1
1.000003,0.748894,0.2489,1
1.000001,0.755506,0.255509,1
1.000001,0.762105,0.262107,1
1.000003,0.76869,0.268695,1
1.000004,0.775265,0.275271,1
1.000004,0.78183,0.281836,1
1.000003,0.788385,0.28839,1
1.000001,0.794932,0.294934,1
1.000001,0.80147,0.301471,1
1.000003,0.807999,0.308002,1
1.000003,0.814521,0.314526,1
1.000003,0.821037,0.321042,1
1.000003,0.827549,0.327552,1
1.000001,0.834055,0.334056,1
1.000001,0.840556,0.340557,1
1.000002,0.847052,0.347055,1
1.000003,0.853546,0.353549,1
1.000003,0.860036,0.36004,1
1.000002,0.866525,0.366528,1
1.000001,0.873012,0.373013,1
1.000001,0.879497,0.379499,1
1.000002,0.885981,0.385984,1
1.000003,0.892465,0.392468,1
1.000003,0.898949,0.398952,1
0.999544,0.905499,0.408416,1
0.99874,0.912075,0.420422,1
0.997994,0.91861,0.432492,1
0.997305,0.925105,0.44465,1
0.996685,0.931559,0.456866,1
0.996137,0.93797,0.469141,1
0.995668,0.944336,0.481489,1
0.99528,0.950658,0.493931,1
0.994988,0.956931,0.506436,1
0.994794,0.963156,0.519004,1
0.994703,0.969333,0.531642,1
0.99472,0.975458,0.544388,1
0.994855,0.981532,0.557202,1
0.995115,0.987553,0.570083,1
0.995508,0.993518,0.583031,1
0.9983,0.998505,0.596729,1
1,1,0.670757,1
0.999999,1,0.766032,1
1,1,0.850975,1
0.999997,1.000001,0.928392,1
1,1,1,1
